#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-18T13:27:50 [V7.4.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-18T13:27:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=9999&-source=J/ApJ/890/46/table2&-order=I&-out=TIC&-out=DatePk&-out=FluxPk&-out=Energy&-out=Duration&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18900046
#Name: J/ApJ/890/46
#Title: Superflares on solar-type stars from TESS first year (Tu+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/890/46	    IVOID of underlying data collection
#INFO	creator=Tu Z.-L.	    First author or institution
#INFO	cites=bibcode:2020ApJ...890...46T	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/890/46	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18900046	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_890_46_table2:
#Name: J/ApJ/890/46/table2
#Title: Superflares
#Column	TIC	(I9)	[737327/468899939] TESS identifier	[ucd=meta.id;meta.main]
#Column	DatePk	(F9.4)	[1325.58/1681.99] Date of superflares' peak	[ucd=time.epoch]
#Column	FluxPk	(E8.1)	[1.29e+31/7.9e+33] Peak Flux (1)	[ucd=phot.flux.density;em.opt]
#Column	Energy	(E8.1)	[4.75e+33/1.8e+37] Superflare energy	[ucd=phys.energy]
#Column	Duration	(F8.2)	[480/15960] Superflare duration	[ucd=time.duration]
TIC	DatePk	FluxPk	Energy	Duration
206592394	1355.0140	 4.0e+31	 3.4e+34	 2160.02
206592394	1376.2585	 1.7e+32	 9.3e+34	 1799.98
313891046	1357.4021	 7.0e+31	 8.9e+34	 2160.04
313891046	1368.7689	 6.1e+31	 4.1e+34	 1200.00
314865597	1371.5636	 5.7e+31	 4.5e+34	 1079.99
314865597	1362.8846	 7.2e+31	 1.7e+35	 4199.97
322051377	1361.1106	 4.4e+31	 5.3e+34	 3480.03
164752884	1399.8521	 2.8e+31	 1.4e+34	 1680.00
164752884	1388.9673	 8.0e+31	 6.6e+34	 4800.06
344319320	1388.3526	 1.0e+32	 8.2e+34	 2040.00
 29939923	1388.8189	 6.8e+31	 2.1e+35	 5520.09
 23193695	1413.5786	 1.1e+32	 5.4e+34	 1320.03
 23193695	1429.6649	 3.2e+31	 4.2e+34	 2159.99
 36828969	1422.0800	 2.9e+32	 6.6e+35	 4439.98
 36828969	1433.4688	 1.6e+32	 4.7e+35	 4679.89
 36831287	1427.3495	 2.2e+31	 1.1e+34	 1079.99
 38402758	1422.6536	 1.9e+32	 3.4e+35	 4680.08
 38402758	1429.1134	 6.2e+31	 6.3e+34	 2520.02
 38402758	1431.1676	 9.5e+31	 7.3e+34	 1920.01
 38402758	1416.8215	 3.0e+31	 1.7e+34	 1200.03
 38402758	1432.7231	 3.3e+31	 3.9e+34	 2160.00
 38402758	1434.0301	 4.0e+31	 2.7e+34	 1440.00
 65416676	1422.7445	 1.8e+32	 4.0e+35	 5279.92
 89187590	1423.3360	 5.6e+31	 8.0e+34	 2760.03
 89187590	1433.8568	 1.1e+32	 9.3e+34	 2399.99
 92347098	1418.3627	 8.9e+32	 1.8e+36	 6480.06
 92347098	1426.6531	 4.2e+31	 1.3e+34	  720.00
 92347098	1427.1114	 6.3e+31	 7.2e+34	 2760.00
 92347098	1416.0210	 2.9e+31	 2.1e+34	 1440.02
 92347098	1431.0128	 5.1e+31	 1.9e+35	 7319.95
121011020	1425.0821	 2.3e+32	 1.7e+35	 3480.04
121011020	1431.5363	 3.9e+32	 3.2e+35	 3719.99
121011020	1411.4430	 1.3e+31	 2.4e+34	 2760.08
159923666	1422.3825	 3.1e+32	 2.3e+35	 3359.97
159989026	1428.3603	 4.5e+31	 4.4e+34	 1799.98
166741952	1412.4479	 2.9e+31	 3.6e+34	 2280.04
166791648	1413.2935	 5.1e+31	 6.8e+34	 3000.05
166791648	1423.0825	 5.4e+31	 7.4e+34	 2760.01
251083171	1417.9721	 4.4e+31	 1.3e+35	 4920.00
259318185	1434.9256	 1.7e+32	 1.2e+35	 2639.99
259318185	1415.9894	 5.0e+31	 4.9e+34	 1800.02
318886674	1416.5638	 8.9e+31	 4.5e+34	 1200.02
328349131	1422.5235	 1.5e+32	 1.2e+35	 1560.02
387464351	1413.1374	 1.0e+32	 1.5e+35	 3360.08
387464351	1430.9500	 2.7e+31	 3.8e+34	 1919.98
419940635	1429.1762	 9.8e+31	 1.2e+35	 2519.93
425142527	1416.2538	 6.9e+31	 4.6e+34	 1320.01
121048789	1425.6168	 8.9e+31	 2.0e+35	 5640.07
422848239	1416.9347	 5.2e+31	 3.1e+35	12360.06
   737327	1460.1798	 5.0e+31	 5.6e+34	 1919.98
 11046349	1452.3523	 7.0e+31	 1.6e+35	 4679.91
 11046349	1453.6134	 6.6e+31	 6.0e+34	 2879.93
 30946945	1451.7617	 1.9e+32	 3.4e+35	 4320.05
 30946945	1444.7658	 8.6e+31	 3.2e+35	 7560.11
 34086013	1453.1714	 5.4e+31	 2.6e+34	  959.98
 34086013	1454.0533	 9.3e+31	 8.9e+34	 1919.96
 38048089	1463.7450	 5.2e+31	 3.2e+34	  959.98
 43472154	1438.7518	 7.5e+31	 4.7e+34	 1560.05
 43472154	1439.0948	 7.4e+31	 1.5e+35	 3720.11
 43472154	1454.2145	 1.8e+32	 2.0e+35	 3840.02
 43472154	1456.2229	 2.7e+31	 1.3e+34	  960.00
 43472154	1457.7576	 2.8e+31	 1.9e+34	 1200.00
 43472154	1458.6437	 1.9e+32	 2.2e+35	 3359.99
 43472154	1461.0395	 6.5e+31	 7.4e+34	 2519.98
 43472154	1461.1645	 6.7e+31	 1.0e+35	 3479.97
 43472154	1462.7131	 4.1e+31	 4.8e+34	 2279.97
 43472154	1463.5075	 9.8e+31	 2.0e+35	 4079.94
 43472154	1443.1255	 4.0e+31	 1.6e+34	  960.02
 43472154	1444.4172	 4.5e+31	 1.2e+35	 5040.09
 43472154	1445.5075	 1.3e+32	 1.9e+35	 4080.06
 43472154	1448.0492	 6.6e+31	 1.5e+35	 4800.05
 43472154	1448.1978	 4.2e+31	 3.7e+34	 1680.02
 43472154	1452.6284	 3.7e+31	 5.8e+34	 3120.03
 49935737	1445.8579	 2.1e+32	 1.9e+35	 3359.96
 49935737	1449.0231	 3.1e+31	 2.1e+34	 1199.98
 49935737	1454.2230	 4.1e+31	 3.8e+34	 1559.97
 49935737	1458.6354	 3.3e+31	 5.9e+34	 2999.91
 55999432	1438.0672	 1.4e+32	 1.7e+35	 2760.07
114923140	1463.7712	 2.5e+31	 1.0e+34	  719.99
117649333	1448.8614	 2.4e+31	 1.8e+34	 1319.99
117649333	1456.0239	 4.7e+31	 1.3e+35	 4439.95
117649333	1459.9461	 5.1e+31	 3.8e+34	 1439.97
117649333	1449.8614	 4.3e+31	 1.6e+35	 5999.96
117747153	1440.1088	 5.6e+31	 1.2e+35	 4920.08
117747153	1447.0380	 3.6e+31	 6.6e+34	 3840.01
117747153	1455.0130	 2.8e+31	 1.8e+34	 1439.99
146381318	1450.0872	 3.6e+31	 2.3e+34	  960.00
152370762	1438.3734	 7.9e+31	 1.0e+35	 3600.03
152370762	1443.5789	 1.2e+32	 1.8e+35	 4199.99
178350442	1458.1055	 1.1e+32	 8.0e+34	 2639.93
178969585	1438.0717	 9.1e+31	 2.2e+35	 6240.09
178969585	1454.8162	 1.1e+32	 2.2e+35	 5519.96
200441008	1440.0231	 1.9e+32	 1.9e+35	 3000.01
200441008	1456.9008	 1.7e+32	 1.8e+35	 3239.96
200441008	1460.1841	 6.9e+31	 8.9e+34	 2759.96
200441008	1459.0063	 4.5e+31	 7.1e+34	 2399.97
245871431	1443.5346	 5.2e+31	 7.8e+34	 2760.05
250130672	1460.5342	 5.1e+31	 4.9e+34	 1439.96
283630171	1460.4165	 3.9e+32	 4.7e+35	 2039.95
283630171	1447.1125	 3.0e+32	 8.8e+35	 4799.98
284789252	1440.9550	 1.6e+32	 2.2e+35	 2760.09
284789252	1447.4955	 1.0e+32	 6.3e+34	 1200.02
284789252	1449.2636	 5.7e+31	 6.7e+34	 1560.02
284789252	1458.6873	 5.6e+31	 4.7e+34	 1320.00
284789252	1459.1818	 7.1e+31	 1.3e+35	 3120.00
284789252	1463.0290	 1.8e+32	 3.2e+35	 3839.97
316835177	1448.2043	 8.3e+31	 9.3e+34	 2640.01
316918406	1449.4335	 6.6e+31	 1.2e+35	 3360.01
373260982	1457.5000	 9.7e+31	 1.6e+35	 3119.98
373260982	1458.5111	 4.5e+32	 7.6e+35	 5159.96
416741712	1444.2819	 1.1e+32	 3.6e+35	 5639.93
416741712	1446.0235	 2.8e+31	 2.6e+34	 1319.98
423831579	1440.9812	 8.9e+31	 1.4e+35	 3120.03
442868242	1442.3721	 2.5e+31	 2.0e+34	 2160.06
442868242	1451.7597	 2.8e+31	 2.5e+34	 1800.03
442868242	1459.5445	 3.6e+31	 3.1e+34	 2160.00
452749710	1441.3341	 9.8e+31	 6.8e+34	 3360.09
452749710	1452.8038	 4.0e+31	 7.4e+34	 3840.05
455007634	1446.0635	 5.1e+31	 4.8e+34	 1440.03
455007634	1455.4831	 1.1e+32	 1.2e+35	 2280.02
455007634	1457.7373	 4.6e+31	 3.0e+34	 1200.00
455007634	1461.0789	 4.1e+31	 1.8e+34	  720.00
468899939	1446.6472	 6.9e+31	 9.0e+34	 2399.97
468899939	1448.8193	 5.0e+31	 4.0e+34	 1199.98
468899939	1453.0415	 9.8e+31	 8.9e+34	 1799.97
 32874669	1469.4549	 2.0e+31	 1.1e+34	  960.00
 32874669	1470.5591	 3.5e+31	 2.0e+34	 1200.00
 32874669	1474.9896	 3.0e+31	 2.1e+34	 1319.99
 32874669	1482.2590	 2.0e+31	 2.0e+34	 2399.97
 32930236	1486.5074	 3.8e+31	 2.9e+34	 1559.97
 34509850	1479.7810	 8.8e+31	 2.0e+35	 3719.94
 46386531	1473.2099	 5.1e+31	 7.6e+34	 3239.96
 46386531	1487.0763	 3.3e+31	 4.3e+34	 2279.93
 52588257	1469.5847	 9.7e+31	 2.1e+35	 3840.00
 53417036	1475.7827	 4.2e+31	 6.3e+34	 3720.04
 53417036	1479.5911	 5.8e+31	 1.4e+35	 5520.08
 53417036	1479.7063	 6.4e+31	 6.0e+34	 2640.04
 53417036	1485.2078	 3.6e+31	 3.7e+34	 2280.00
 53417036	1485.9772	 2.6e+32	 4.9e+35	 6359.99
 53417036	1486.8869	 3.9e+31	 2.2e+34	 1679.99
 53417036	1487.2411	 2.7e+31	 1.8e+34	 2039.99
 53417036	1489.1758	 6.4e+31	 6.1e+34	 2399.98
 93126844	1475.4832	 5.9e+31	 1.1e+35	 5159.93
 93126844	1487.7316	 7.6e+31	 3.0e+35	 8879.75
 93277807	1472.3041	 2.7e+33	 9.5e+35	  960.00
 93277807	1478.2151	 1.2e+33	 1.1e+36	 1319.99
 93277807	1487.4844	 5.9e+33	 9.4e+36	 3479.91
 93277807	1487.6080	 7.9e+33	 1.8e+37	 5279.86
143141922	1474.6668	 9.0e+31	 2.0e+35	 4679.98
173088921	1472.4046	 1.6e+32	 3.9e+35	 5520.11
173088921	1480.3547	 4.5e+31	 2.3e+34	  840.01
220322529	1475.6943	 1.8e+32	 2.5e+35	 3000.03
220322529	1488.7485	 1.4e+32	 1.1e+35	 1199.99
237387438	1486.2468	 9.2e+31	 8.3e+34	 1680.00
271551109	1483.9076	 1.8e+32	 2.0e+35	 2399.98
332860629	1470.9728	 3.1e+31	 9.0e+34	 4559.98
332860629	1487.4795	 2.2e+31	 3.6e+34	 2759.91
363913108	1487.8942	 2.0e+32	 3.0e+35	 4319.97
393384729	1484.1982	 7.7e+31	 9.6e+34	 2640.00
278780359	1501.6289	 1.1e+32	 7.8e+34	 1560.00
279056341	1514.2733	 9.2e+31	 1.2e+35	 1919.99
458616184	1501.7040	 7.8e+31	 1.2e+35	 3720.03
458616184	1494.5317	 5.2e+32	 8.8e+35	 9720.27
 94515514	1494.3155	 1.0e+32	 1.2e+35	 2760.05
 94515514	1497.3974	 8.4e+31	 6.4e+34	 1800.02
148342995	1499.9444	 3.9e+31	 2.8e+34	 1199.99
178473930	1496.8620	 9.5e+31	 1.2e+35	 3000.07
443968828	1508.2874	 6.5e+31	 2.8e+34	  600.01
453106107	1501.1118	 5.6e+31	 2.4e+34	 1079.98
409973553	1537.0159	 2.7e+32	 3.6e+35	 4080.01
409973553	1521.4282	 7.7e+31	 1.2e+35	 3480.10
  1258935	1517.6755	 4.7e+31	 4.0e+34	 1560.03
 26076428	1522.4396	 1.1e+32	 1.1e+35	 2400.08
 53369126	1528.6843	 5.6e+31	 8.4e+34	 2520.01
 53369126	1521.4107	 7.9e+31	 1.5e+35	 3720.05
143400356	1522.6037	 1.9e+31	 2.5e+34	 2160.08
270561886	1519.6693	 1.4e+32	 1.5e+35	 2400.01
270708781	1520.3748	 9.1e+31	 1.1e+35	 1920.02
277712294	1538.8500	 9.1e+31	 1.2e+35	 2760.00
281234132	1541.2871	 1.6e+32	 2.4e+35	 2879.92
408350711	1529.0462	 5.3e+31	 3.4e+34	 1320.01
408350711	1539.0824	 3.7e+31	 5.3e+34	 3240.00
296862547	1547.4816	 5.0e+31	 4.9e+34	 1920.01
385927634	1547.8425	 2.2e+32	 2.5e+35	 3840.05
385927634	1558.0106	 1.6e+32	 2.7e+35	 3840.02
 47425894	1546.5749	 4.9e+31	 4.7e+34	 2400.03
 47428257	1564.3290	 6.4e+31	 4.2e+34	 1079.98
 54145213	1549.1031	 3.0e+31	 1.7e+34	 1080.02
 56649881	1567.6258	 2.9e+32	 2.9e+35	 3239.88
144167304	1552.1137	 5.4e+31	 7.7e+34	 2640.06
318092167	1552.4513	 1.3e+32	 1.1e+35	 1679.99
362714717	1560.7933	 7.5e+31	 5.5e+34	 1680.00
386242030	1548.6230	 5.4e+31	 3.1e+34	 1080.01
 15525212	1585.2485	 5.7e+31	 6.8e+34	 2400.03
 21827610	1577.7585	 4.3e+31	 1.0e+35	 4080.05
 21827610	1592.5738	 6.8e+31	 7.6e+34	 2399.98
 21827610	1587.5433	 8.1e+31	 8.5e+34	 2160.00
 21827610	1589.4058	 1.1e+32	 1.7e+35	 3719.99
 57719552	1589.3477	 6.4e+31	 2.8e+34	 1079.98
 72445399	1581.7291	 4.6e+31	 4.1e+34	 1440.02
 72445399	1588.1514	 7.0e+31	 4.1e+34	 1440.01
 72445399	1593.6390	 7.5e+31	 2.2e+35	 5160.01
 73460115	1572.2721	 9.3e+31	 3.7e+34	 1080.03
157321951	1592.2378	 1.4e+32	 2.4e+35	 2759.95
162091088	1588.6970	 1.1e+32	 1.7e+35	 5279.92
162582602	1587.0052	 3.5e+31	 3.4e+34	 2159.98
162582602	1589.5608	 7.8e+31	 1.2e+35	 3599.96
286147872	1573.6731	 6.2e+31	 2.9e+34	  960.00
286147872	1585.4342	 1.0e+32	 9.6e+34	 1919.97
286912556	1573.8136	 6.3e+31	 6.0e+34	 1440.03
332007547	1575.0746	 3.9e+31	 3.1e+34	 1320.03
334684206	1584.8289	 2.9e+32	 6.0e+35	 5640.06
428643392	1571.4414	 7.3e+31	 4.0e+34	 1080.00
266851670	1573.7475	 5.6e+31	 1.3e+35	 4320.10
 76652075	1621.9068	 1.2e+32	 9.1e+34	 2160.00
121196226	1604.5522	 3.0e+32	 3.3e+35	 3600.09
121196226	1619.2135	 2.3e+32	 6.2e+35	 5640.01
121196226	1607.6162	 4.1e+31	 4.5e+34	 1920.04
127249954	1606.9965	 1.6e+32	 3.0e+35	 4800.07
127249954	1619.1980	 9.8e+31	 2.9e+35	 5279.98
127311608	1615.2467	 1.5e+32	 1.6e+35	 3120.00
127311608	1609.2203	 6.3e+31	 6.2e+34	 1680.01
127311608	1614.7925	 4.1e+31	 6.4e+34	 2160.00
127311608	1620.7133	 5.3e+31	 5.2e+34	 1679.99
127311608	1620.7466	 6.9e+31	 8.8e+34	 2159.98
128414141	1619.4813	 1.8e+32	 2.5e+35	 3719.99
160417350	1621.3786	 5.2e+31	 2.1e+34	  840.00
160633268	1605.5715	 1.3e+32	 2.1e+35	 4440.12
160701354	1618.6536	 4.9e+32	 4.0e+35	 2880.02
165266362	1599.0444	 1.9e+32	 4.1e+35	 4080.01
165266362	1621.3872	 1.3e+32	 2.9e+35	 4319.90
165729690	1603.7674	 4.2e+31	 9.4e+34	 3600.01
167704195	1616.4357	 1.5e+32	 1.6e+35	 2759.98
167704195	1600.8496	 9.2e+31	 6.7e+34	 1800.03
179951420	1607.6647	 9.9e+31	 7.1e+34	 1680.01
225700322	1616.3958	 3.3e+32	 3.6e+35	 2280.02
241289894	1601.7001	 1.3e+32	 2.2e+35	 3840.04
241289894	1602.4959	 8.0e+31	 1.9e+35	 4080.04
241289894	1604.8640	 1.7e+32	 2.4e+35	 2880.02
241289894	1623.7556	 1.5e+32	 3.7e+35	 4559.91
241343119	1613.5113	 8.9e+31	 6.9e+34	 1919.99
241363085	1605.3432	 2.9e+32	 4.6e+35	 4320.03
241570607	1602.5823	 1.1e+32	 1.3e+35	 2280.03
241570607	1607.7671	 5.3e+31	 1.0e+35	 3120.01
241570607	1621.8031	 7.5e+31	 7.7e+34	 1919.97
261389834	1606.8294	 2.3e+32	 3.8e+35	 3840.04
272456799	1605.9247	 2.0e+32	 3.6e+35	 4080.11
272456799	1603.6219	 7.7e+31	 1.6e+35	 3480.10
272456799	1614.7791	 1.5e+32	 2.5e+35	 3840.04
272456799	1622.6110	 1.5e+32	 1.4e+35	 2280.00
312590891	1602.7661	 5.2e+31	 4.9e+34	 1560.02
334207648	1607.8366	 1.1e+32	 1.4e+35	 3000.02
334207648	1618.3796	 9.3e+31	 1.4e+35	 3599.99
379329149	1613.1392	 1.9e+32	 4.2e+35	 4559.97
379329149	1616.6697	 6.6e+31	 8.2e+34	 2399.98
379329149	1617.9086	 1.4e+32	 1.7e+35	 2999.97
405513518	1606.4342	 8.2e+31	 8.7e+34	 2040.00
405513518	1617.9841	 1.2e+32	 1.5e+35	 3839.95
405846469	1598.4455	 9.4e+31	 1.4e+35	 2760.02
406376496	1602.3860	 1.6e+32	 2.4e+35	 3360.02
406376496	1607.0569	 1.2e+32	 1.5e+35	 2520.00
406376496	1619.4526	 9.0e+31	 9.2e+34	 2279.97
430829746	1615.5780	 1.4e+32	 1.5e+35	 3480.03
435003773	1608.0494	 5.9e+31	 1.1e+35	 4440.00
436998675	1606.3939	 3.6e+31	 4.0e+34	 1920.01
436998675	1609.2258	 5.6e+31	 8.7e+34	 4080.00
438775149	1608.7073	 2.7e+32	 5.8e+35	 5159.97
438775149	1603.7281	 7.1e+31	 1.6e+35	 4560.02
439971546	1618.9562	 2.2e+32	 5.0e+35	 5519.98
439971546	1599.3881	 1.8e+32	 3.3e+35	 5160.08
127089264	1621.5117	 8.5e+31	 1.2e+35	 2999.98
 67822383	1629.8069	 2.6e+32	 4.6e+35	 4440.01
 67822383	1637.8152	 1.6e+32	 2.3e+35	 4079.97
 67822383	1636.5194	 6.9e+31	 5.8e+34	 1559.99
 79358659	1651.5289	 5.2e+32	 8.9e+35	 5279.93
 93985722	1629.2541	 5.3e+32	 1.1e+36	 5280.01
 93985722	1629.2569	 5.6e+32	 1.4e+36	 9240.02
 98305034	1643.6818	 7.4e+32	 9.6e+35	 4199.93
 98305034	1646.2082	 5.2e+32	 9.2e+35	 4799.91
 98305034	1635.3680	 1.0e+32	 1.5e+35	 2520.00
133701057	1644.2310	 1.2e+32	 1.0e+35	 2519.94
133701057	1645.1393	 1.2e+32	 1.7e+35	 3479.91
152346470	1631.4123	 2.3e+32	 6.6e+35	 5640.14
152346470	1641.9777	 1.7e+32	 1.9e+35	 2520.01
152346470	1647.0319	 1.0e+32	 9.7e+34	 1440.00
152346470	1647.2541	 9.2e+31	 1.5e+35	 3600.00
152346470	1650.2402	 9.1e+31	 2.2e+35	 4079.99
194744695	1644.3845	 1.2e+33	 1.7e+36	 5040.03
211143017	1633.0277	 5.2e+32	 4.5e+35	 3240.02
211143017	1645.6665	 9.2e+31	 1.5e+35	 2999.96
211143017	1634.9708	 9.4e+31	 2.1e+35	 4080.02
254322223	1629.5815	 4.2e+32	 7.0e+35	 3840.00
254322223	1636.9134	 1.8e+32	 3.0e+35	 4559.95
254322223	1650.7394	 1.4e+32	 2.5e+35	 3719.89
254322223	1638.0786	 9.9e+31	 8.4e+34	 1799.98
255053137	1644.3648	 1.4e+32	 3.8e+35	 5399.89
255053137	1644.3662	 1.6e+32	 6.9e+35	13079.74
318035342	1628.2373	 6.3e+32	 1.3e+36	 6000.04
318035342	1631.1151	 1.2e+32	 1.8e+35	 3480.02
318035342	1633.1832	 6.9e+31	 1.5e+35	 4200.01
360323842	1637.3963	 1.0e+32	 2.0e+35	 5400.12
 17509396	1631.7577	 8.6e+31	 1.6e+35	 3480.11
 36959970	1646.9402	 9.5e+31	 5.6e+34	 1079.97
 96458463	1651.6123	 3.8e+31	 3.4e+34	 1679.97
133010063	1634.9115	 9.0e+31	 2.8e+35	 5639.96
133010063	1651.3751	 8.1e+31	 9.5e+34	 3119.91
210541258	1646.0665	 7.0e+31	 1.4e+35	 3599.94
254659451	1633.1300	 7.7e+31	 4.9e+34	 1440.00
254659451	1636.7078	 5.8e+31	 3.1e+34	 1199.99
270107026	1630.8854	 8.9e+31	 1.7e+35	 3720.01
279798387	1649.2935	 1.3e+32	 1.0e+35	 1560.02
296375776	1636.2996	 6.9e+31	 5.4e+34	 1679.99
304437284	1634.8765	 3.3e+31	 3.6e+34	 2640.06
322306553	1641.0825	 7.9e+31	 8.7e+34	 1920.03
392322718	1642.2736	 7.4e+31	 4.6e+34	  959.99
413145172	1633.3295	 8.8e+31	 6.6e+34	 1560.00
424481065	1646.5305	 7.7e+31	 5.0e+34	 1679.98
424481065	1651.1055	 7.4e+31	 9.7e+34	 3119.94
269155561	1631.0547	 5.5e+31	 3.9e+34	 1200.00
  6526912	1673.3840	 3.8e+32	 9.5e+35	 5759.94
 97914505	1676.0873	 6.3e+31	 1.2e+35	 3959.98
 97919620	1674.6122	 7.8e+31	 6.4e+34	 1679.99
 97919620	1665.4413	 6.6e+31	 5.2e+34	 1680.02
152039475	1670.4388	 1.1e+32	 1.5e+35	 3359.98
152039475	1664.2763	 2.9e+31	 2.9e+34	 1800.02
230977118	1681.9546	 1.5e+32	 1.7e+35	 3119.99
318213519	1680.9473	 7.1e+31	 7.1e+34	 2039.99
319904128	1670.9725	 1.1e+32	 1.1e+35	 3000.00
319904128	1676.1586	 1.5e+32	 3.3e+35	 5519.97
319904128	1662.2141	 6.5e+31	 1.0e+35	 3840.05
341498715	1675.4344	 4.2e+31	 7.1e+34	 3840.04
406095880	1681.9867	 1.2e+32	 1.5e+35	 4199.91
424911242	1681.9895	 8.1e+31	 9.1e+34	 2279.97
