#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-18T13:28:59 [V7.4.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-18T13:28:59	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/890/46/table1&-order=I&-out=TIC&-out=Teff&-out=logg&-out=Rad&-out=Per&-out=Nfl&-out=Nset&-out=Freq&-out=Flag&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18900046
#Name: J/ApJ/890/46
#Title: Superflares on solar-type stars from TESS first year (Tu+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/890/46	    IVOID of underlying data collection
#INFO	creator=Tu Z.-L.	    First author or institution
#INFO	cites=bibcode:2020ApJ...890...46T	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/890/46	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18900046	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJ_890_46_table1:
#Name: J/ApJ/890/46/table1
#Title: Flare stars
#Column	TIC	(I9)	[737327/468899939] TESS identifier	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	[5103/5998] Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	[4/4.71] log surface gravity	[ucd=phys.gravity]
#Column	Rad	(F5.2)	[0.69/1.7] Stellar radius	[ucd=phys.size.radius]
#Column	Per	(F5.2)	[0.14/25.5] Stellar rotational period	[ucd=time.period]
#Column	Nfl	(I2)	[1/63] Number of flares (1)	[ucd=meta.number]
#Column	Nset	(I2)	[1/13] Number of Set-n (2)	[ucd=meta.number]
#Column	Freq	(F6.2)	[1.19/233.2] Flare frequency, f*, deduced by Equ. 9 (N_*flares_/{tau}*) (3)	[ucd=em.freq;src.var]
#Column	Flag	(a5)	Flare star flag (4)	[ucd=meta.code.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
TIC	Teff	logg	Rad	Per	Nfl	Nset	Freq	Flag	Simbad	_RA	_DE
121011020	5223	 4.38	 1.01	 4.05	 3	 1	 48.80	     	Simbad	055.66585	-20.54545
159923666	5490	 4.39	 1.04	 2.76	 1	 1	 16.27	     	Simbad	049.01278	-37.42285
159989026	5660	 4.45	 0.99	 2.06	 1	 1	 16.27	     	Simbad	050.58337	-36.63717
166741952	5281	 4.58	 0.81	 5.40	 1	 1	 16.27	     	Simbad	056.25668	-31.85293
166791648	5379	 4.20	 1.26	 4.99	 2	 1	 32.54	     	Simbad	057.71271	-34.79859
251083171	5533	 4.56	 0.85	 1.16	 1	 1	 16.27	     	Simbad	037.42410	-00.50813
259318185	5258	 4.45	 0.94	 1.01	 2	 1	 32.53	     	Simbad	067.43391	-48.53906
318886674	5474	 4.54	 0.87	 8.64	 1	 1	 16.27	     	Simbad	042.04365	+04.36053
328349131	5832	 4.50	 0.96	 3.60	 1	 1	 16.27	     	Simbad	046.78008	+03.88862
387464351	5446	 4.58	 0.83	 4.47	 2	 1	 32.54	     	Simbad	042.58708	+08.15789
419940635	5801	 4.21	 1.33	 0.83	 1	 1	 16.27	GM   	Simbad	030.59805	+04.32219
425142527	5865	 4.29	 1.23	 2.88	 1	 1	 16.27	     	Simbad	044.52100	-07.08470
121048789	5709	 4.22	 1.30	 0.32	 1	 1	 16.27	     	Simbad	056.19977	-21.29449
422848239	5338	 4.47	 0.92	 2.40	 1	 1	 16.27	     	Simbad	037.09977	+05.63604
   737327	5872	 4.20	 1.35	 1.62	 1	 1	 14.57	GM   	Simbad	074.37018	-29.16290
 11046349	5409	 4.31	 1.12	 3.33	 2	 1	 29.48	GM   	Simbad	056.10842	-01.39214
 30946945	5334	 4.27	 1.17	 1.78	 2	 1	 29.15	     	Simbad	079.47097	-29.57537
 34086013	5404	 4.59	 0.82	 5.47	 2	 1	 29.15	GM   	Simbad	059.26656	-10.23359
 38048089	5828	 4.44	 1.03	 3.61	 1	 1	 14.74	     	Simbad	067.96325	-06.58352
 43472154	5316	 4.49	 0.90	 2.80	16	 1	233.17	     	Simbad	074.70224	-08.72770
 49935737	5548	 4.49	 0.94	 2.13	 4	 1	 58.97	     	Simbad	059.40516	-04.27109
 55999432	5835	 4.33	 1.16	 1.86	 1	 1	 14.74	     	Simbad	069.54582	-07.43764
114923140	5568	 4.40	 1.04	 4.38	 1	 1	 14.57	     	Simbad	072.43483	-13.11668
117649333	5528	 4.49	 0.93	 2.23	 4	 1	 58.29	     	Simbad	068.18129	-15.33649
117747153	5215	 4.45	 0.93	 2.80	 3	 1	 43.72	GM   	Simbad	069.19628	-12.15574
146381318	5310	 4.48	 0.91	 1.80	 1	 1	 14.57	     	Simbad	074.90830	-23.04509
152370762	5785	 4.41	 1.05	 1.30	 2	 1	 29.15	     	Simbad	065.29303	-24.53916
178350442	5136	 4.37	 1.00	 3.37	 1	 1	 14.57	     	Simbad	061.52201	-19.29429
178969585	5785	 4.44	 1.01	 2.39	 2	 1	 29.15	GM   	Simbad	069.68309	-27.03383
200441008	5870	 4.45	 1.01	10.11	 4	 1	 58.28	GM   	Simbad	071.03080	-44.10977
245871431	5901	 4.19	 1.38	 1.86	 1	 1	 14.74	     	Simbad	068.89134	+12.10049
250130672	5729	 4.48	 0.97	 2.95	 1	 1	 14.74	     	Simbad	063.07678	+00.02543
283630171	5668	 4.09	 1.50	 2.41	 2	 1	 29.49	     	Simbad	062.16617	+10.29246
284789252	5789	 4.41	 1.05	 0.87	 6	 1	 88.45	     	Simbad	076.72356	+06.11554
316835177	5333	 4.57	 0.83	 1.53	 1	 1	 14.57	     	Simbad	073.94724	-16.33928
316918406	5403	 4.49	 0.92	 1.80	 1	 1	 14.57	GM   	Simbad	074.64907	-15.62517
373260982	5824	 4.56	 0.89	 2.55	 2	 1	 29.48	     	Simbad	070.28143	+11.53589
416741712	5655	 4.53	 0.91	 1.60	 2	 1	 29.49	     	Simbad	054.14289	+07.43875
423831579	5512	 4.16	 1.35	 1.51	 1	 1	 14.57	     	Simbad	071.47113	-29.77776
442868242	5353	 4.49	 0.91	 3.20	 3	 1	 43.72	     	Simbad	079.85072	-17.74808
452749710	5422	 4.13	 1.39	 0.31	 2	 1	 29.49	     	Simbad	074.57074	+00.45388
455007634	5792	 4.47	 0.98	 2.83	 4	 1	 58.98	     	Simbad	076.14917	+04.04633
468899939	5836	 4.50	 0.96	 0.42	 3	 1	 44.23	     	Simbad	057.13098	+08.52688
 32874669	5147	 4.53	 0.84	 4.73	 4	 1	 70.15	     	Simbad	087.27735	-27.56545
 32930236	5216	 4.55	 0.83	 3.40	 1	 1	 17.54	     	Simbad	087.58932	-29.25572
 34509850	5708	 4.33	 1.15	 2.22	 1	 1	 17.54	     	Simbad	082.80905	-09.37517
 46386531	5792	 4.34	 1.14	 2.09	 2	 1	 35.08	     	Simbad	083.53818	-15.28422
 52588257	5362	 4.04	 1.53	 1.51	 1	 1	 17.54	     	Simbad	084.32681	+13.58125
 53417036	5554	 4.44	 0.98	 1.53	 8	 1	140.26	     	Simbad	100.09316	-03.53308
 93126844	5730	 4.41	 1.04	 1.70	 2	 1	 35.08	     	Simbad	085.08638	-19.66970
 93277807	5706	 4.17	 1.37	 3.89	 4	 1	 70.15	     	Simbad	086.04657	-19.73143
143141922	5375	 4.54	 0.85	 2.47	 1	 1	 17.54	     	Simbad	089.54919	-35.01368
173088921	5361	 4.25	 1.19	 4.19	 2	 1	 35.07	     	Simbad	102.43911	-28.98808
220322529	5313	 4.16	 1.31	 0.75	 2	 1	 35.07	GM   	Simbad	100.19201	+09.82148
237387438	5848	 4.13	 1.47	 3.89	 1	 1	 17.54	     	Simbad	095.35425	-41.55891
271551109	5804	 4.45	 1.00	 2.22	 1	 1	 17.54	     	Simbad	087.00566	-44.04901
332860629	5345	 4.41	 1.00	 2.02	 2	 1	 35.08	     	Simbad	084.64586	-08.94457
363913108	5264	 4.56	 0.83	 4.95	 1	 1	 17.54	     	Simbad	089.21544	-53.56658
393384729	5313	 4.54	 0.85	 9.90	 1	 1	 17.54	     	Simbad	094.02043	-41.27357
278780359	5177	 4.42	 0.96	 3.82	 1	 1	 15.92	GM   	Simbad	099.95260	-54.80498
279056341	5359	 4.37	 1.05	 1.34	 1	 1	 15.92	     	Simbad	102.55078	-55.81593
458616184	5141	 4.57	 0.80	 3.14	 2	 1	 31.84	GM   	Simbad	124.74220	+08.68033
 94515514	5643	 4.08	 1.51	 1.31	 2	 1	 31.84	     	Simbad	115.61073	-16.28344
148342995	5647	 4.59	 0.84	 4.37	 1	 1	 15.92	     	Simbad	101.97321	-36.83490
178473930	5731	 4.28	 1.21	 0.37	 1	 1	 15.92	     	Simbad	123.92023	-01.91816
443968828	5640	 4.56	 0.87	11.12	 1	 1	 15.92	GM   	Simbad	130.93013	+08.00129
453106107	5235	 4.63	 0.76	 7.64	 1	 1	 15.92	     	Simbad	091.58528	-41.11148
409973553	5291	 4.07	 1.46	 1.01	 2	 1	 38.74	     	Simbad	145.39430	-17.88651
  1258935	5739	 4.48	 0.97	 4.93	 1	 1	 19.37	     	Simbad	137.57990	-15.06211
 26076428	5585	 4.33	 1.12	 4.40	 1	 1	 19.37	     	Simbad	151.27436	-10.01180
 53369126	5638	 4.52	 0.91	 3.42	 2	 1	 38.74	     	Simbad	126.48124	-47.55487
143400356	5295	 4.45	 0.94	 6.16	 1	 1	 19.37	     	Simbad	154.80111	-04.07885
270561886	5966	 4.05	 1.63	 1.60	 1	 1	 19.37	     	Simbad	136.27040	+04.91330
270708781	5937	 4.09	 1.55	 1.24	 1	 1	 19.37	     	Simbad	137.65173	+01.78708
277712294	5468	 4.44	 0.98	 3.33	 1	 1	 19.37	     	Simbad	153.46180	+01.99118
281234132	5591	 4.10	 1.47	 2.68	 1	 1	 19.37	     	Simbad	140.45572	-01.81173
408350711	5351	 4.54	 0.86	 3.97	 2	 1	 38.74	     	Simbad	144.96428	-21.57151
296862547	5524	 4.55	 0.87	 8.59	 1	 1	 16.69	GM   	Simbad	158.50222	-13.90389
385927634	5556	 4.51	 0.91	 0.79	 2	 1	 31.57	     	Simbad	138.81204	-55.19767
 47425894	5236	 4.51	 0.87	 5.48	 1	 1	 16.57	     	Simbad	164.94055	-05.37002
 47428257	5700	 4.33	 1.14	 0.89	 1	 1	 16.57	     	Simbad	165.20172	-05.21012
 54145213	5117	 4.46	 0.90	 3.66	 1	 1	 16.41	     	Simbad	160.48440	-29.95823
 56649881	5805	 4.02	 1.65	 0.54	 1	 1	 16.57	     	Simbad	158.16573	-06.89275
144167304	5445	 4.31	 1.14	 2.02	 1	 1	 16.23	     	Simbad	177.01540	-08.31423
318092167	5843	 4.28	 1.23	 0.62	 1	 1	 16.57	GM   	Simbad	161.55031	-03.66470
362714717	5742	 4.52	 0.93	 2.86	 1	 1	 15.78	GM   	Simbad	145.52437	-48.52319
386242030	5730	 4.49	 0.95	 6.14	 1	 1	 15.78	     	Simbad	139.25206	-56.28002
 15525212	5496	 4.18	 1.32	 2.79	 1	 1	 16.00	     	Simbad	185.48191	-49.77012
 21827610	5322	 4.45	 0.95	 1.98	 4	 1	 64.67	     	Simbad	181.63721	-42.79746
 57719552	5421	 4.55	 0.86	 6.47	 1	 1	 16.90	GM   	Simbad	174.50724	-30.02915
 72445399	5708	 4.46	 0.98	 1.98	 3	 1	 48.50	     	Simbad	187.39921	-47.71360
 73460115	5988	 4.26	 1.28	 1.45	 1	 1	 16.17	     	Simbad	191.08053	-45.42316
157321951	5887	 4.01	 1.69	 3.37	 1	 1	 16.22	     	Simbad	176.90521	-35.37409
162091088	5185	 4.53	 0.85	 0.56	 1	 1	 16.68	     	Simbad	168.20020	-42.68722
162582602	5256	 4.57	 0.81	 3.85	 2	 1	 33.35	     	Simbad	170.26227	-46.44192
286147872	5528	 4.49	 0.93	 3.72	 2	 1	 33.81	     	Simbad	179.22980	-25.70793
286912556	5837	 4.35	 1.13	 2.39	 1	 1	 16.37	GM   	Simbad	190.58401	-23.29716
332007547	5787	 4.32	 1.17	 0.84	 1	 1	 16.00	GM   	Simbad	179.12901	-50.75971
334684206	5140	 4.20	 1.22	 3.59	 1	 1	 16.00	     	Simbad	183.64204	-51.17014
428643392	5722	 4.44	 1.01	 0.57	 1	 1	 16.90	     	Simbad	179.33923	-19.64584
266851670	5497	 4.20	 1.29	 2.92	 1	 1	 16.00	GM   	Simbad	175.45237	-58.58652
 76652075	5281	 4.27	 1.16	 2.26	 1	 1	 18.65	     	Simbad	228.93905	-33.53326
121196226	5337	 4.11	 1.39	 2.35	 3	 1	 55.95	     	Simbad	224.84485	-40.22003
127249954	5371	 4.05	 1.50	 5.44	 2	 1	 37.30	     	Simbad	217.03874	-44.23819
127311608	5515	 4.23	 1.25	 0.96	 5	 1	 93.24	     	Simbad	217.08070	-42.32614
128414141	5124	 4.28	 1.11	 0.73	 1	 1	 18.65	     	Simbad	219.33560	-44.16818
160417350	5143	 4.33	 1.06	 2.49	 1	 1	 18.65	     	Simbad	226.86494	-46.01871
160633268	5617	 4.30	 1.16	 0.31	 1	 1	 18.65	     	Simbad	227.15723	-44.38807
160701354	5533	 4.07	 1.50	 1.01	 1	 1	 18.65	     	Simbad	227.16042	-44.01444
165266362	5325	 4.10	 1.42	 1.65	 2	 1	 31.40	     	Simbad	192.25000	-52.19914
165729690	5185	 4.41	 0.97	 1.96	 1	 1	 18.65	     	Simbad	204.19533	-40.99583
167704195	5235	 4.27	 1.15	 2.14	 2	 1	 37.30	     	Simbad	216.58893	-36.73495
179951420	5848	 4.49	 0.97	 1.38	 1	 1	 18.65	     	Simbad	214.96612	-41.04953
225700322	5239	 4.19	 1.26	 2.55	 1	 1	 18.65	GM   	Simbad	229.97064	-28.04075
241289894	5744	 4.08	 1.53	 1.28	 4	 1	 63.23	GM   	Simbad	203.58441	-52.67670
241343119	5821	 4.48	 0.97	 2.51	 1	 1	 15.81	GM   	Simbad	204.28797	-50.57701
241363085	5470	 4.26	 1.20	 3.89	 1	 1	 15.81	     	Simbad	204.54698	-52.24032
241570607	5155	 4.19	 1.25	 0.54	 3	 1	 47.42	     	Simbad	206.96063	-49.03487
261389834	5523	 4.06	 1.52	 4.05	 1	 1	 15.43	     	Simbad	209.80758	-51.87747
272456799	5874	 4.14	 1.46	 2.18	 4	 1	 74.60	     	Simbad	229.98556	-30.10692
312590891	5803	 4.29	 1.21	 2.39	 1	 1	 15.56	GM   	Simbad	201.68389	-62.37651
334207648	5242	 4.56	 0.83	 4.79	 2	 1	 31.12	GM   	Simbad	192.98501	-66.64027
379329149	5955	 4.48	 1.00	 1.41	 3	 1	 43.65	GM   	Simbad	181.06004	-64.31433
405513518	5531	 4.20	 1.29	 0.58	 2	 1	 31.40	GM   	Simbad	190.32575	-58.43222
405846469	5434	 4.21	 1.27	 2.43	 1	 1	 15.70	     	Simbad	192.20075	-56.59384
406376496	5616	 4.32	 1.14	 2.22	 3	 1	 47.10	     	Simbad	198.07518	-54.64833
430829746	5128	 4.18	 1.25	 3.32	 1	 1	 15.43	GM   	Simbad	219.45927	-54.96145
435003773	5310	 4.24	 1.19	 3.90	 1	 1	 15.70	     	Simbad	192.39135	-61.49184
436998675	5236	 4.20	 1.25	 1.25	 2	 1	 31.40	GM   	Simbad	194.03915	-61.45708
438775149	5686	 4.38	 1.07	 1.53	 2	 1	 31.61	     	Simbad	201.44930	-48.24940
439971546	5435	 4.01	 1.60	 1.49	 2	 1	 31.12	GM   	Simbad	196.27203	-64.23202
127089264	5187	 4.29	 1.12	 4.18	 1	 1	 15.43	GM   	Simbad	216.77315	-47.23937
 67822383	5805	 4.33	 1.15	 1.07	 3	 1	 49.17	     	Simbad	242.10965	-28.43035
 79358659	5626	 4.24	 1.26	 1.49	 1	 1	 16.22	GM   	Simbad	251.66789	-38.14743
 93985722	5113	 4.18	 1.25	 1.97	 2	 1	 32.78	     	Simbad	241.12733	-32.12463
 98305034	5288	 4.03	 1.52	 1.15	 3	 1	 49.17	     	Simbad	244.54613	-29.18684
133701057	5604	 4.49	 0.94	 0.60	 2	 1	 32.76	GM   	Simbad	229.90422	-47.99283
152346470	5844	 4.14	 1.44	 1.97	 5	 1	 81.08	GM   	Simbad	259.24150	-31.15106
194744695	5232	 4.19	 1.25	 2.94	 1	 1	 16.22	GM   	Simbad	260.11560	-39.90032
211143017	5167	 4.22	 1.20	 2.30	 3	 1	 49.17	GM   	Simbad	246.64961	-33.24672
254322223	5197	 4.12	 1.35	 2.63	 4	 1	 65.52	GM   	Simbad	234.67946	-44.19650
255053137	5963	 4.22	 1.35	 2.25	 2	 1	 32.76	     	Simbad	238.36371	-42.26686
318035342	5399	 4.40	 1.01	 2.18	 3	 1	 49.17	GM   	Simbad	243.49173	-36.30372
360323842	5402	 4.48	 0.92	 1.81	 1	 1	 13.50	     	Simbad	262.47949	-54.26351
 17509396	5299	 4.11	 1.40	 0.84	 1	 1	 16.39	GM   	Simbad	264.52539	-44.05877
 36959970	5716	 4.43	 1.02	 1.81	 1	 1	 13.50	GM   	Simbad	225.75513	-58.38034
 96458463	5323	 4.54	 0.85	 3.95	 1	 1	 16.22	     	Simbad	251.36652	-33.30616
133010063	5299	 4.24	 1.20	 1.59	 2	 1	 27.01	GM   	Simbad	229.50728	-53.29135
210541258	5879	 4.25	 1.28	 2.63	 1	 1	 16.39	GM   	Simbad	244.96074	-33.91260
254659451	5962	 4.47	 1.00	 1.97	 2	 1	 32.76	GM   	Simbad	236.42777	-46.54261
270107026	5420	 4.19	 1.29	 4.68	 1	 1	 16.38	GM   	Simbad	236.71581	-49.31797
279798387	5390	 4.25	 1.20	 1.94	 1	 1	 13.50	GM   	Simbad	038.75326	-85.83741
296375776	5736	 4.29	 1.20	 3.99	 1	 1	 13.50	GM   	Simbad	223.61293	-65.34265
304437284	5423	 4.52	 0.88	 4.11	 1	 1	 13.50	     	Simbad	259.56103	-60.45764
322306553	5440	 4.20	 1.28	 0.76	 1	 1	 13.50	GM   	Simbad	359.57351	-86.44001
392322718	5488	 4.16	 1.36	 1.73	 1	 1	 16.39	     	Simbad	245.94576	-28.83400
413145172	5247	 4.58	 0.81	 1.33	 1	 1	 13.50	     	Simbad	231.61690	-55.83248
424481065	5308	 4.21	 1.24	 2.22	 2	 1	 27.01	GM   	Simbad	236.64974	-61.46098
269155561	5871	 4.60	 0.85	 3.88	 1	 1	 13.50	GM   	Simbad	236.62329	-52.28996
  6526912	5541	 4.24	 1.25	 2.29	 1	 1	 14.39	     	Simbad	284.16362	-51.05799
 97914505	5161	 4.27	 1.14	 2.54	 1	 1	 14.54	     	Simbad	289.55268	-38.38457
 97919620	5399	 4.50	 0.91	 3.27	 2	 1	 28.81	     	Simbad	289.67800	-41.70826
152039475	5364	 4.52	 0.88	 1.56	 2	 1	 29.09	     	Simbad	284.70222	-32.82144
230977118	5747	 4.22	 1.30	 2.06	 1	 1	 13.21	     	Simbad	300.37862	-55.75409
318213519	5990	 4.30	 1.23	 1.37	 1	 1	 13.21	GM   	Simbad	314.82444	-78.18078
319904128	5261	 4.32	 1.09	 0.83	 3	 1	 39.62	     	Simbad	293.00431	-58.91577
341498715	5290	 4.54	 0.85	 5.69	 1	 1	 13.21	     	Simbad	318.52158	-63.70037
406095880	5169	 4.18	 1.26	 0.47	 1	 1	 14.39	     	Simbad	283.27447	-50.18053
424911242	5522	 4.40	 1.02	 1.56	 3	 1	 39.62	     	Simbad	292.70402	-52.72989
 50345701	5126	 4.19	 1.23	 5.41	 5	 2	 33.48	     	Simbad	032.34824	-76.68766
266997586	5404	 4.54	 0.86	 3.57	 2	 2	 13.39	     	Simbad	003.47088	-74.68829
425976940	5108	 4.54	 0.82	 1.26	 4	 2	 27.56	     	Simbad	018.31392	-64.19307
355650859	5772	 4.39	 1.07	 2.23	 1	 2	  6.89	     	Simbad	358.65136	-58.63132
401840741	5306	 4.19	 1.27	 0.61	 3	 2	 24.18	     	Simbad	026.55400	-46.94780
175491080	5321	 4.52	 0.88	 3.98	14	 2	122.71	     	Simbad	045.19527	-37.13382
219998026	5551	 4.50	 0.92	 2.35	 2	 2	 16.11	     	Simbad	031.82525	-53.19904
279343302	5136	 4.52	 0.85	 2.05	 3	 2	 26.29	     	Simbad	035.62439	-21.25810
 65291141	5555	 4.28	 1.18	 0.87	 1	 2	  8.77	     	Simbad	038.30558	-29.51081
  7586485	5801	 4.36	 1.11	 1.76	 6	 2	 46.11	     	Simbad	063.59405	-38.31710
 13955147	5701	 4.44	 1.01	 2.22	 1	 2	  7.69	     	Simbad	075.21611	-41.01853
 44797824	5446	 4.26	 1.20	 1.50	 8	 2	 61.50	     	Simbad	062.45451	-26.02198
