#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-01-13T12:50:16 [V7.4.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-01-13T12:50:16	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=200&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/162/192/table2&-order=I&-out=TIC&-out=Obs&-out=Sep&-out=PA&-out=Con&-out=MinSep&-out=Con0.15&-out=Con1&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51620192
#Name: J/AJ/162/192
#Title: SOAR TESS survey. II. Impact of stellar companions (Ziegler+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/aj/162/192	    IVOID of underlying data collection
#INFO	creator=Ziegler C.	    First author or institution
#INFO	cites=bibcode:2021AJ....162..192Z	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/162/192	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51620192	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-03-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_AJ_162_192_table2:
#Name: J/AJ/162/192/table2
#Title: SOAR speckle observations and resolved binary properties of known eclipsing binaries
#Column	TIC	(I9)	TESS Input Catalog number	[ucd=meta.id;meta.main]
#Column	Obs	(F7.4)	[19/20] Decimal year of the observation	[ucd=time.epoch]
#Column	Sep	(F7.4)	[0.04/4.44]? Angular separation	[ucd=pos.angDistance]
#Column	PA	(F5.1)	[10/359]? Position angle	[ucd=pos.posAng]
#Column	Con	(F4.1)	[0/7.4]? I band contrast magnitude	[ucd=phot.mag;arith.diff]
#Column	MinSep	(F6.3)	[0.03/0.17] Minimum separation	[ucd=pos.angDistance;src.orbital]
#Column	Con0.15	(F5.2)	[1.29/3.41] I band contrast mag at 0.15arcsec	[ucd=phot.mag;arith.diff]
#Column	Con1	(F5.2)	[2.01/6.14] I band contrast magnitude at 1arcsec	[ucd=phot.mag;arith.diff]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Position from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
TIC	Obs	Sep	PA	Con	MinSep	Con0.15	Con1	Simbad	_RA	_DE
279245231	19.2090	 0.5767	243.7	 0.2	 0.064	 2.71	 4.86	Simbad	103.74895	-56.65279
177313167	19.2013	       	     	    	 0.134	 1.64	 2.35	Simbad	103.84979	-74.04857
177313167	19.2063	       	     	    	 0.134	 1.64	 2.35	Simbad	103.84979	-74.04857
177313167	19.2013	       	     	    	 0.134	 1.64	 2.35	Simbad	103.84979	-74.04857
177313167	19.2063	       	     	    	 0.134	 1.64	 2.35	Simbad	103.84979	-74.04857
177118923	19.2064	       	     	    	 0.124	 1.54	 2.36	Simbad	104.15571	-67.01166
167793961	19.2064	 0.0772	102.8	 1.1	 0.084	 1.99	 3.66	Simbad	104.28697	-65.13187
177175199	19.2091	       	     	    	 0.064	 2.63	 5.15	Simbad	105.08001	-70.89082
279431011	19.2091	       	     	    	 0.064	 2.67	 5.60	Simbad	105.14416	-58.39341
370236000	19.2091	       	     	    	 0.064	 2.75	 5.40	Simbad	105.25921	-74.01760
284196481	19.2091	       	     	    	 0.064	 2.88	 5.30	Simbad	105.79264	-70.54162
271554516	19.2091	       	     	    	 0.064	 2.81	 5.41	Simbad	105.90899	-71.99931
279569731	19.2091	       	     	    	 0.064	 2.80	 5.11	Simbad	105.93099	-57.66076
299897992	19.2091	 0.1231	307.3	 2.1	 0.072	 2.07	 4.85	Simbad	105.92419	-66.39548
279569718	19.2091	       	     	    	 0.064	 3.02	 5.29	Simbad	105.94024	-57.64060
299899924	19.2091	 0.1150	 72.2	 1.3	 0.064	 2.11	 5.06	Simbad	106.01025	-69.68700
348897766	19.2091	       	     	    	 0.064	 2.82	 5.40	Simbad	106.03411	-63.43075
348898049	19.2091	       	     	    	 0.064	 2.69	 5.27	Simbad	106.06064	-62.90222
279615956	19.2091	       	     	    	 0.064	 2.83	 5.25	Simbad	106.29323	-59.68240
348900258	19.2091	       	     	    	 0.064	 2.74	 5.50	Simbad	106.43787	-60.57324
300010961	19.2092	 2.3703	 21.3	 2.6	 0.064	 2.89	 5.18	Simbad	106.94570	-67.93686
349055189	19.2091	       	     	    	 0.064	 2.73	 5.29	Simbad	107.24448	-60.57697
294092960	19.2090	       	     	    	 0.071	 2.59	 4.82	Simbad	107.35662	-57.50243
294092966	19.2091	       	     	    	 0.064	 2.54	 5.39	Simbad	107.34823	-57.49642
300033857	19.2091	       	     	    	 0.064	 2.77	 5.40	Simbad	107.44969	-70.67401
349059448	19.2091	       	     	    	 0.064	 2.76	 5.38	Simbad	107.54398	-64.45911
300039099	19.2092	       	     	    	 0.064	 2.81	 5.16	Simbad	107.69887	-69.08443
300039094	19.2092	 0.6149	 24.9	 4.2	 0.064	 2.47	 5.30	Simbad	         	
300038935	19.2092	       	     	    	 0.064	 2.88	 5.40	Simbad	107.84370	-68.83349
349156098	19.2091	       	     	    	 0.064	 2.78	 5.21	Simbad	108.18345	-64.70905
349153143	19.2091	       	     	    	 0.064	 2.83	 5.38	Simbad	108.33045	-60.05837
294273900	19.2091	       	     	    	 0.064	 2.74	 5.45	Simbad	108.71097	-59.26781
271640350	19.2091	 2.1325	197.1	 2.1	 0.064	 2.79	 5.24	Simbad	108.75860	-72.04732
349270369	19.2091	       	     	    	 0.064	 2.94	 5.27	Simbad	109.04832	-60.52503
300161962	19.2092	 0.6047	170.3	 0.7	 0.064	 2.56	 4.73	Simbad	109.10932	-69.04939
339633702	19.2091	       	     	    	 0.064	 2.98	 5.35	Simbad	110.11605	-58.49074
349375972	19.2092	 1.0510	133.5	 2.7	 0.064	 2.64	 5.03	Simbad	110.21814	-63.75479
349409844	19.2092	       	     	    	 0.064	 2.68	 5.20	Simbad	110.42121	-61.95141
300327482	19.2092	       	     	    	 0.064	 2.71	 5.31	Simbad	110.73185	-69.43285
349480507	19.2092	       	     	    	 0.064	 2.65	 5.21	Simbad	110.93677	-65.01094
300382665	19.2092	       	     	    	 0.064	 2.60	 5.28	Simbad	111.44697	-68.30089
300448625	19.2092	       	     	    	 0.064	 2.75	 5.55	Simbad	111.77308	-68.61542
300447314	19.2092	       	     	    	 0.064	 2.74	 5.10	Simbad	111.97259	-66.98378
339890862	19.2092	       	     	    	 0.064	 2.81	 5.60	Simbad	112.04757	-58.07287
349644606	19.2092	       	     	    	 0.064	 2.88	 5.45	Simbad	112.11683	-60.86548
300560295	19.2092	       	     	    	 0.064	 2.91	 4.98	Simbad	112.91599	-68.13321
349790953	19.2091	       	     	    	 0.064	 2.66	 5.23	Simbad	113.45479	-61.29248
349832824	19.2092	 2.6525	114.5	 5.0	 0.064	 2.64	 4.59	Simbad	113.64766	-64.94462
349832824	19.2092	 0.3116	 30.7	 1.1	 0.064	 2.64	 4.59	Simbad	113.64766	-64.94462
349902873	19.2092	       	     	    	 0.064	 2.89	 5.25	Simbad	113.76988	-63.03962
349907707	19.2091	 0.9013	196.8	 2.3	 0.064	 2.82	 5.37	Simbad	114.10522	-61.87385
300654002	19.2092	       	     	    	 0.064	 2.56	 5.22	Simbad	114.41690	-69.54233
349972600	19.2091	       	     	    	 0.064	 2.71	 5.37	Simbad	114.47333	-62.30514
350027507	19.2092	 3.9900	283.9	 2.2	 0.063	 2.28	 5.54	Simbad	         	
350094542	19.2092	       	     	    	 0.064	 2.58	 5.00	Simbad	         	
391892842	19.2092	 0.7070	195.7	 3.5	 0.064	 2.33	 4.94	Simbad	115.38869	-67.67851
350144298	19.2092	       	     	    	 0.064	 2.74	 5.03	Simbad	115.49971	-65.51854
391891749	19.2092	 0.7003	211.8	 2.0	 0.064	 2.79	 5.27	Simbad	115.56717	-69.20593
391894459	19.2092	       	     	    	 0.064	 2.54	 5.23	Simbad	115.66839	-66.34268
350146296	19.2092	       	     	    	 0.064	 2.85	 5.00	Simbad	115.73955	-63.70199
262609754	19.2091	       	     	    	 0.064	 2.74	 5.31	Simbad	116.32497	-62.08403
382437243	19.2092	       	     	    	 0.066	 2.43	 4.84	Simbad	117.18072	-63.45873
300867734	19.2092	       	     	    	 0.064	 2.57	 4.92	Simbad	117.16603	-68.22937
382517745	19.2092	       	     	    	 0.064	 2.75	 5.03	Simbad	117.45211	-64.04238
300871376	19.2091	 1.9442	206.8	 0.3	 0.064	 2.69	 4.94	Simbad	117.69692	-70.77815
272286042	19.2091	       	     	    	 0.064	 2.62	 5.16	Simbad	118.12376	-74.21539
382575967	19.2092	       	     	    	 0.064	 2.76	 5.27	Simbad	118.22271	-60.78607
300971133	19.2092	       	     	    	 0.064	 2.63	 5.02	Simbad	118.33408	-67.50945
382577618	19.2092	       	     	    	 0.064	 2.73	 5.10	Simbad	118.47689	-60.58355
306470921	19.2092	       	     	    	 0.064	 2.58	 5.11	Simbad	118.60650	-68.14776
306508587	19.2092	       	     	    	 0.066	 2.59	 4.78	Simbad	118.87704	-66.99570
358459933	19.2094	       	     	    	 0.064	 2.62	 5.20	Simbad	118.95896	-65.28297
358511856	19.2092	       	     	    	 0.064	 2.57	 5.00	Simbad	119.15871	-65.61392
272357134	19.2091	       	     	    	 0.064	 2.73	 5.29	Simbad	119.47964	-73.47308
364398097	19.2092	       	     	    	 0.064	 2.69	 5.09	Simbad	119.71435	-60.66744
306580215	19.2092	 3.0195	 12.7	 0.3	 0.063	 2.31	 5.15	Simbad	119.74235	-67.23232
410487677	19.2092	 0.4721	358.5	 3.8	 0.064	 2.54	 5.02	Simbad	119.89216	-65.43611
308397121	19.2092	       	     	    	 0.064	 2.80	 5.03	Simbad	120.09885	-64.84317
306669607	19.2091	       	     	    	 0.064	 2.78	 5.15	Simbad	120.50684	-71.64538
306740183	19.2091	       	     	    	 0.072	 2.72	 4.95	Simbad	120.73036	-70.93027
308537791	19.2092	       	     	    	 0.064	 2.90	 5.25	Simbad	120.92351	-60.90755
308454245	19.2092	       	     	    	 0.064	 2.71	 5.07	Simbad	120.95821	-64.62915
306773020	19.2092	       	     	    	 0.066	 2.49	 4.77	Simbad	121.01874	-67.64516
306742226	19.2092	 2.1230	 51.1	 3.3	 0.056	 2.57	 4.86	Simbad	121.21681	-70.06130
306742226	19.2092	 0.2247	 45.6	 1.9	 0.056	 2.57	 4.86	Simbad	121.21681	-70.06130
308746785	19.2092	       	     	    	 0.064	 2.95	 5.28	Simbad	122.08511	-61.97095
308852608	19.2092	 0.0858	222.8	 0.6	 0.057	 2.11	 4.87	Simbad	122.47904	-64.71491
308852618	19.2092	       	     	    	 0.064	 2.58	 4.95	Simbad	122.49056	-64.72495
308851582	19.2092	 1.2385	206.2	 5.1	 0.064	 2.84	 4.97	Simbad	122.58623	-63.74034
287428184	19.2091	       	     	    	 0.064	 2.76	 5.26	Simbad	123.09422	-73.18211
308991822	19.2092	       	     	    	 0.064	 2.73	 4.97	Simbad	123.11316	-65.54486
309146836	19.2092	 4.0865	 69.9	 2.2	 0.063	 2.67	 6.02	Simbad	123.81637	-62.91564
307490686	19.2092	       	     	    	 0.064	 2.67	 5.27	Simbad	         	
287773752	19.2091	       	     	    	 0.064	 2.53	 5.28	Simbad	127.22340	-72.08177

